company_id,name,name_ja,industry_code,isin,website
167,"Prima Meat Packers, Ltd.",プリマハム株式会社,3050,,
168,"ROKKO BUTTER CO., LTD.",六甲バター株式会社,3050,,
169,"FUKUTOME MEAT PACKERS, LTD.",福留ハム株式会社,3050,,
170,s foods inc.,エスフーズ株式会社,3050,,
171,"TAKIZAWA HAM CO.,LTD.",滝沢ハム株式会社,3050,,
172,,株式会社秋川牧園,50,,
173,"Nippon Flour Mills Co., Ltd.",日本製粉株式会社,3050,,
174,NISSHIN SEIFUN GROUP INC.,株式会社日清製粉グループ本社,3050,JP3676800000,
175,"NITTO FUJI FLOUR MILLING CO.,LTD.",日東富士製粉株式会社,3050,,
176,"Showa Sangyo Co., Ltd.",昭和産業株式会社,3050,,
177,,鳥越製粉株式会社,3050,,
178,"Toyo Sugar Refining Co., Ltd.",東洋精糖株式会社,3050,,
179,"Nippon Beet Sugar Manufacturing Co.,Ltd.",日本甜菜製糖株式会社,3050,,
180,"Mitsui Sugar Co.,Ltd",三井製糖株式会社,3050,,
181,Fuji Nihon Seito Corporation,フジ日本精糖株式会社,3050,,
182,"Ensuiko Sugar Refining Co.,Ltd.",塩水港精糖株式会社,3050,,
183,"Morinaga&Co.,Ltd.",森永製菓株式会社,3050,JP3926400007,
184,"IMURAYA GROUP CO., LTD.",井村屋グループ株式会社,3050,,
185,"NAKAMURAYA CO.,LTD.",株式会社中村屋,3050,,
186,"EZAKI GLICO CO.,LTD.",江崎グリコ株式会社,3050,,
187,"Fujiya Co.,Ltd",株式会社不二家,3050,,
188,"YAMAZAKI BAKING CO., LTD.",山崎製パン株式会社,3050,,
189,"Meito  Sangyo  Co., Ltd.",名糖産業株式会社,3050,,
190,"FIRST BAKING CO.,LTD.",第一屋製パン株式会社,3050,,
191,Kanro Inc.,カンロ株式会社,3050,,
192,BOURBON CORPORATION,株式会社ブルボン,3050,,
193,Morozoff Limited,モロゾフ株式会社,3050,,
194,"NICHIRYO BAKING CO.,LTD.",日糧製パン株式会社,3050,,
195,"KAMEDA SEIKA CO.,LTD.",亀田製菓株式会社,3050,,
196,"IWATSUKA CONFECTIONERY CO.,LTD.",岩塚製菓株式会社,3050,,
197,"Kotobuki Spirits Co.,Ltd.",寿スピリッツ株式会社,3050,,
198,"COMO CO.,LTD.",株式会社コモ,3050,,
199,KOIKE-YA Inc.,株式会社湖池屋,3050,,
200,"21LADY Co.,Ltd",２１ＬＡＤＹ株式会社,6100,,
